"","subject","order","condition","trial_number","rating","encoding_phase","memorised","learned","never_learned","forgotten","performance","number_of_trials"
"1","sub-01","D-R","Rest","26",2,"E2",1,0,0,0,1,22
"2","sub-01","D-R","Rest","27",0,"E2",1,0,0,0,1,22
"3","sub-01","D-R","Rest","28",3,"E2",1,0,0,0,1,22
"4","sub-01","D-R","Rest","29",3,"E2",1,0,0,0,1,22
"5","sub-01","D-R","Rest","30",3,"E2",1,0,0,0,1,22
"6","sub-01","D-R","Rest","31",1,"E2",1,0,0,0,1,22
"7","sub-01","D-R","Rest","33",3,"E2",1,0,0,0,1,22
"8","sub-01","D-R","Rest","34",0,"E2",1,0,0,0,1,22
"9","sub-01","D-R","Rest","35",0,"E2",1,0,0,0,1,22
"10","sub-01","D-R","Rest","36",3,"E2",1,0,0,0,1,22
"11","sub-01","D-R","Rest","37",1,"E2",1,0,0,0,1,22
"12","sub-01","D-R","Rest","39",1,"E2",1,0,0,0,1,22
"13","sub-01","D-R","Rest","40",3,"E2",1,0,0,0,1,22
"14","sub-01","D-R","Rest","41",1,"E2",1,0,0,0,1,22
"15","sub-01","D-R","Rest","42",0,"E2",1,0,0,0,1,22
"16","sub-01","D-R","Rest","43",3,"E2",1,0,0,0,1,22
"17","sub-01","D-R","Rest","44",0,"E2",1,0,0,0,1,22
"18","sub-01","D-R","Rest","45",1,"E2",1,0,0,0,1,22
"19","sub-01","D-R","Rest","46",1,"E2",1,0,0,0,1,22
"20","sub-01","D-R","Rest","47",0,"E2",1,0,0,0,1,22
"21","sub-01","D-R","Rest","49",2,"E2",1,0,0,0,1,22
"22","sub-01","D-R","Rest","50",0,"E2",1,0,0,0,1,22
"23","sub-01","D-R","Distraction","1",1,"E1",1,0,0,0,1,16
"24","sub-01","D-R","Distraction","10",2,"E1",1,0,0,0,1,16
"25","sub-01","D-R","Distraction","11",0,"E1",1,0,0,0,1,16
"26","sub-01","D-R","Distraction","17",1,"E1",1,0,0,0,1,16
"27","sub-01","D-R","Distraction","18",3,"E1",1,0,0,0,1,16
"28","sub-01","D-R","Distraction","19",3,"E1",1,0,0,0,1,16
"29","sub-01","D-R","Distraction","2",1,"E1",1,0,0,0,1,16
"30","sub-01","D-R","Distraction","20",3,"E1",1,0,0,0,1,16
"31","sub-01","D-R","Distraction","21",0,"E1",1,0,0,0,1,16
"32","sub-01","D-R","Distraction","22",2,"E1",1,0,0,0,1,16
"33","sub-01","D-R","Distraction","23",2,"E1",1,0,0,0,1,16
"34","sub-01","D-R","Distraction","24",3,"E1",1,0,0,0,1,16
"35","sub-01","D-R","Distraction","3",2,"E1",1,0,0,0,1,16
"36","sub-01","D-R","Distraction","4",2,"E1",1,0,0,0,1,16
"37","sub-01","D-R","Distraction","6",0,"E1",1,0,0,0,1,16
"38","sub-01","D-R","Distraction","9",2,"E1",0,0,0,1,0,16
"39","sub-07","R-D","Rest","12",1,"E1",1,0,0,0,1,16
"40","sub-07","R-D","Rest","13",1,"E1",1,0,0,0,1,16
"41","sub-07","R-D","Rest","14",2,"E1",1,0,0,0,1,16
"42","sub-07","R-D","Rest","15",3,"E1",1,0,0,0,1,16
"43","sub-07","R-D","Rest","17",1,"E1",1,0,0,0,1,16
"44","sub-07","R-D","Rest","18",0,"E1",1,0,0,0,1,16
"45","sub-07","R-D","Rest","20",0,"E1",1,0,0,0,1,16
"46","sub-07","R-D","Rest","21",1,"E1",1,0,0,0,1,16
"47","sub-07","R-D","Rest","22",1,"E1",1,0,0,0,1,16
"48","sub-07","R-D","Rest","23",1,"E1",1,0,0,0,1,16
"49","sub-07","R-D","Rest","24",0,"E1",1,0,0,0,1,16
"50","sub-07","R-D","Rest","25",1,"E1",0,0,0,1,0,16
"51","sub-07","R-D","Rest","5",0,"E1",1,0,0,0,1,16
"52","sub-07","R-D","Rest","7",1,"E1",1,0,0,0,1,16
"53","sub-07","R-D","Rest","8",0,"E1",1,0,0,0,1,16
"54","sub-07","R-D","Rest","9",1,"E1",1,0,0,0,1,16
"55","sub-07","R-D","Distraction","27",0,"E2",1,0,0,0,1,21
"56","sub-07","R-D","Distraction","28",1,"E2",1,0,0,0,1,21
"57","sub-07","R-D","Distraction","29",2,"E2",1,0,0,0,1,21
"58","sub-07","R-D","Distraction","30",0,"E2",1,0,0,0,1,21
"59","sub-07","R-D","Distraction","31",2,"E2",1,0,0,0,1,21
"60","sub-07","R-D","Distraction","32",0,"E2",1,0,0,0,1,21
"61","sub-07","R-D","Distraction","33",3,"E2",1,0,0,0,1,21
"62","sub-07","R-D","Distraction","34",0,"E2",1,0,0,0,1,21
"63","sub-07","R-D","Distraction","36",1,"E2",1,0,0,0,1,21
"64","sub-07","R-D","Distraction","37",1,"E2",1,0,0,0,1,21
"65","sub-07","R-D","Distraction","38",0,"E2",1,0,0,0,1,21
"66","sub-07","R-D","Distraction","39",0,"E2",1,0,0,0,1,21
"67","sub-07","R-D","Distraction","41",0,"E2",1,0,0,0,1,21
"68","sub-07","R-D","Distraction","42",1,"E2",1,0,0,0,1,21
"69","sub-07","R-D","Distraction","43",1,"E2",1,0,0,0,1,21
"70","sub-07","R-D","Distraction","44",0,"E2",1,0,0,0,1,21
"71","sub-07","R-D","Distraction","45",0,"E2",1,0,0,0,1,21
"72","sub-07","R-D","Distraction","46",0,"E2",1,0,0,0,1,21
"73","sub-07","R-D","Distraction","47",1,"E2",1,0,0,0,1,21
"74","sub-07","R-D","Distraction","49",1,"E2",1,0,0,0,1,21
"75","sub-07","R-D","Distraction","50",0,"E2",1,0,0,0,1,21
"76","sub-10","D-R","Rest","26",3,"E2",1,0,0,0,1,11
"77","sub-10","D-R","Rest","32",3,"E2",1,0,0,0,1,11
"78","sub-10","D-R","Rest","33",0,"E2",1,0,0,0,1,11
"79","sub-10","D-R","Rest","34",0,"E2",1,0,0,0,1,11
"80","sub-10","D-R","Rest","35",0,"E2",1,0,0,0,1,11
"81","sub-10","D-R","Rest","41",2,"E2",1,0,0,0,1,11
"82","sub-10","D-R","Rest","42",1,"E2",1,0,0,0,1,11
"83","sub-10","D-R","Rest","43",0,"E2",0,0,0,1,0,11
"84","sub-10","D-R","Rest","45",3,"E2",1,0,0,0,1,11
"85","sub-10","D-R","Rest","47",1,"E2",1,0,0,0,1,11
"86","sub-10","D-R","Rest","48",2,"E2",1,0,0,0,1,11
"87","sub-10","D-R","Distraction","11",3,"E1",1,0,0,0,1,14
"88","sub-10","D-R","Distraction","13",2,"E1",1,0,0,0,1,14
"89","sub-10","D-R","Distraction","15",1,"E1",1,0,0,0,1,14
"90","sub-10","D-R","Distraction","17",1,"E1",1,0,0,0,1,14
"91","sub-10","D-R","Distraction","18",0,"E1",0,0,0,1,0,14
"92","sub-10","D-R","Distraction","2",2,"E1",0,0,0,1,0,14
"93","sub-10","D-R","Distraction","21",0,"E1",1,0,0,0,1,14
"94","sub-10","D-R","Distraction","24",0,"E1",0,0,0,1,0,14
"95","sub-10","D-R","Distraction","25",0,"E1",1,0,0,0,1,14
"96","sub-10","D-R","Distraction","3",0,"E1",0,0,0,1,0,14
"97","sub-10","D-R","Distraction","5",0,"E1",1,0,0,0,1,14
"98","sub-10","D-R","Distraction","6",1,"E1",1,0,0,0,1,14
"99","sub-10","D-R","Distraction","8",1,"E1",1,0,0,0,1,14
"100","sub-10","D-R","Distraction","9",3,"E1",1,0,0,0,1,14
"101","sub-12","R-D","Rest","1",0,"E1",1,0,0,0,1,22
