subject;age;trial_number;condition;order;image_object_id;image_landscape_id;encoding_phase;rating;recall_phase;phase;score;rt
sub-01;28;1;Distraction;D-R;Fourchette;mars-02;E1;1.0;R1;initial;1.0;3.66080460000012
sub-01;28;2;Distraction;D-R;Lion;Mon09;E1;1.0;R1;initial;1.0;3.383935500000007
sub-01;28;3;Distraction;D-R;Tracteur;Nei01;E1;2.0;R1;initial;1.0;2.6711412999993627
sub-01;28;4;Distraction;D-R;Moto;Des05;E1;2.0;R1;initial;1.0;2.0715354999993
sub-01;28;5;Distraction;D-R;Broccoli;Mon10;E1;1.0;R1;initial;0.0;6.863478799999939
sub-01;28;6;Distraction;D-R;Balai;Nei03;E1;0.0;R1;initial;1.0;1.9513988000007885
sub-01;28;7;Distraction;D-R;Trompette;Mon04;E1;1.0;R1;initial;0.0;13.881561000000149
sub-01;28;8;Distraction;D-R;Violon;Mon12;E1;2.0;R1;initial;0.0;4.143176499999754
sub-01;28;9;Distraction;D-R;Papillon;Eau05;E1;2.0;R1;initial;1.0;2.535602800000561
sub-01;28;10;Distraction;D-R;Guitare;For06;E1;2.0;R1;initial;1.0;2.8422536999996737
sub-01;28;11;Distraction;D-R;Prise;mars-01;E1;0.0;R1;initial;1.0;2.015887700000349
sub-01;28;12;Distraction;D-R;Poire;Mon02;E1;1.0;R1;initial;0.0;4.084592300000622
sub-01;28;13;Distraction;D-R;Citron;For03;E1;1.0;R1;initial;0.0;3.863233099999889
sub-01;28;14;Distraction;D-R;Canard;For04;E1;2.0;R1;initial;0.0;7.311543800000436
sub-01;28;15;Distraction;D-R;Marteau;Mon01;E1;0.0;R1;initial;0.0;2.109106399999291
sub-01;28;16;Distraction;D-R;Pomme;Des04;E1;1.0;R1;initial;0.0;7.999068299999635
sub-01;28;17;Distraction;D-R;Girafe;Mon14;E1;1.0;R1;initial;1.0;2.500847799999974
sub-01;28;18;Distraction;D-R;Cactus;Des01;E1;3.0;R1;initial;1.0;2.096944799999619
sub-01;28;19;Distraction;D-R;Tasse;Urb02;E1;3.0;R1;initial;1.0;1.6954526999998052
sub-01;28;20;Distraction;D-R;Sac;Mon11;E1;3.0;R1;initial;1.0;1.5522899000006871
sub-01;28;21;Distraction;D-R;Rhinoceros;Cam03;E1;0.0;R1;initial;1.0;5.469265300000188
sub-01;28;22;Distraction;D-R;Clef;Eau06;E1;2.0;R1;initial;1.0;1.3698194000007788
sub-01;28;23;Distraction;D-R;Seau;Nei02;E1;2.0;R1;initial;1.0;1.2824658999998064
sub-01;28;24;Distraction;D-R;Casquette;Mon05;E1;3.0;R1;initial;1.0;3.331801400000586
sub-01;28;25;Distraction;D-R;Fromage;Cam02;E1;1.0;R1;initial;0.0;3.1987622000006013
sub-01;28;26;Rest;D-R;Crayon;Urb04;E2;2.0;R2;initial;1.0;2.408858199999486
sub-01;28;27;Rest;D-R;Ciseaux;Esp02;E2;0.0;R2;initial;1.0;2.2464930999994976
sub-01;28;28;Rest;D-R;Tortue;Des03;E2;3.0;R2;initial;1.0;2.4707726000006005
sub-01;28;29;Rest;D-R;Chien;Urb01;E2;3.0;R2;initial;1.0;1.1102898999997706
sub-01;28;30;Rest;D-R;Voiture;Urb06;E2;3.0;R2;initial;1.0;2.1575425000000905
sub-01;28;31;Rest;D-R;Cheval;Urb10;E2;1.0;R2;initial;1.0;1.9252705999997488
sub-01;28;32;Rest;D-R;Stylo;Urb08;E2;2.0;R2;initial;0.0;2.2187764000000243
sub-01;28;33;Rest;D-R;Chapeau;Urb03;E2;3.0;R2;initial;1.0;1.907174699999814
sub-01;28;34;Rest;D-R;Piano;Urb07;E2;0.0;R2;initial;1.0;1.6395461000001887
sub-01;28;35;Rest;D-R;Chat;Esp05;E2;0.0;R2;initial;1.0;1.5719780999997963
sub-01;28;36;Rest;D-R;Bonnet;Esp03;E2;3.0;R2;initial;1.0;2.0783447000003434
sub-01;28;37;Rest;D-R;Bougie;For01;E2;1.0;R2;initial;1.0;1.854258200000004
sub-01;28;38;Rest;D-R;Cerise;Mon03;E2;1.0;R2;initial;0.0;1.403409799999281
sub-01;28;39;Rest;D-R;Carotte;Urb11;E2;1.0;R2;initial;1.0;3.064965699999448
sub-01;28;40;Rest;D-R;Dauphin;Eau04;E2;3.0;R2;initial;1.0;1.9610311000005824
sub-01;28;41;Rest;D-R;Ampoule;Mon06;E2;1.0;R2;initial;1.0;6.142761999999493
sub-01;28;42;Rest;D-R;Table;For05;E2;0.0;R2;initial;1.0;1.6484368000001268
sub-01;28;43;Rest;D-R;Montre;Urb09;E2;3.0;R2;initial;1.0;1.8081534999992075
sub-01;28;44;Rest;D-R;Fraise;mars-04;E2;0.0;R2;initial;1.0;1.5994596999998976
sub-01;28;45;Rest;D-R;Lunettes;mars-03;E2;1.0;R2;initial;1.0;5.38117179999972
sub-01;28;46;Rest;D-R;Pain;Des02;E2;1.0;R2;initial;1.0;2.230607499999678
sub-01;28;47;Rest;D-R;Elephant;Eau02;E2;0.0;R2;initial;1.0;2.5880664999995133
sub-01;28;48;Rest;D-R;Tournevis;Eau03;E2;1.0;R2;initial;0.0;5.002126999999746
sub-01;28;49;Rest;D-R;Pinceau;Mon07;E2;2.0;R2;initial;1.0;2.519461899999442
sub-01;28;50;Rest;D-R;Velo;Mon13;E2;0.0;R2;initial;1.0;1.654125600000043
sub-01;28;10bis;Distraction;D-R;Guitare;For06;E1;2.0;RF;final;1.0;2.5920877999997174
sub-01;28;11bis;Distraction;D-R;Prise;mars-01;E1;0.0;RF;final;1.0;1.906270899999072
sub-01;28;12bis;Distraction;D-R;Poire;Mon02;E1;1.0;RF;final;0.0;1.2376368999994156
sub-01;28;13bis;Distraction;D-R;Citron;For03;E1;1.0;RF;final;1.0;1.7740250999995624
sub-01;28;14bis;Distraction;D-R;Canard;For04;E1;2.0;RF;final;0.0;1.229159099999379
sub-01;28;15bis;Distraction;D-R;Marteau;Mon01;E1;0.0;RF;final;0.0;0.6986030000007304
sub-01;28;16bis;Distraction;D-R;Pomme;Des04;E1;1.0;RF;final;0.0;1.8553666999996492
sub-01;28;17bis;Distraction;D-R;Girafe;Mon14;E1;1.0;RF;final;1.0;3.121498199998314
sub-01;28;18bis;Distraction;D-R;Cactus;Des01;E1;3.0;RF;final;1.0;1.842710299999453
sub-01;28;19bis;Distraction;D-R;Tasse;Urb02;E1;3.0;RF;final;1.0;1.4507039999989502
sub-01;28;1bis;Distraction;D-R;Fourchette;mars-02;E1;1.0;RF;final;1.0;3.2110376000000542
sub-01;28;20bis;Distraction;D-R;Sac;Mon11;E1;3.0;RF;final;1.0;0.8560386999997718
sub-01;28;21bis;Distraction;D-R;Rhinoceros;Cam03;E1;0.0;RF;final;1.0;3.665658199999598
sub-01;28;22bis;Distraction;D-R;Clef;Eau06;E1;2.0;RF;final;1.0;2.042433800001163
sub-01;28;23bis;Distraction;D-R;Seau;Nei02;E1;2.0;RF;final;1.0;1.2135526000001846
sub-01;28;24bis;Distraction;D-R;Casquette;Mon05;E1;3.0;RF;final;1.0;2.4376673999995546
sub-01;28;25bis;Distraction;D-R;Fromage;Cam02;E1;1.0;RF;final;1.0;2.0280619000004663
sub-01;28;26bis;Rest;D-R;Crayon;Urb04;E2;2.0;RF;final;1.0;4.68732799999998
sub-01;28;27bis;Rest;D-R;Ciseaux;Esp02;E2;0.0;RF;final;1.0;2.379236300001139
sub-01;28;28bis;Rest;D-R;Tortue;Des03;E2;3.0;RF;final;1.0;3.5931458999984898
sub-01;28;29bis;Rest;D-R;Chien;Urb01;E2;3.0;RF;final;1.0;1.5833560000010038
sub-01;28;2bis;Distraction;D-R;Lion;Mon09;E1;1.0;RF;final;1.0;1.7906695999990916
sub-01;28;30bis;Rest;D-R;Voiture;Urb06;E2;3.0;RF;final;1.0;2.9445166000004974
sub-01;28;31bis;Rest;D-R;Cheval;Urb10;E2;1.0;RF;final;1.0;2.367188400001396
sub-01;28;32bis;Rest;D-R;Stylo;Urb08;E2;2.0;RF;final;1.0;1.7212171999999557
sub-01;28;33bis;Rest;D-R;Chapeau;Urb03;E2;3.0;RF;final;1.0;2.468667600000117
sub-01;28;34bis;Rest;D-R;Piano;Urb07;E2;0.0;RF;final;1.0;1.7818451000002824
sub-01;28;35bis;Rest;D-R;Chat;Esp05;E2;0.0;RF;final;1.0;1.5814309999987015
sub-01;28;36bis;Rest;D-R;Bonnet;Esp03;E2;3.0;RF;final;1.0;1.565530300000319
sub-01;28;37bis;Rest;D-R;Bougie;For01;E2;1.0;RF;final;1.0;1.5419800000017858
sub-01;28;38bis;Rest;D-R;Cerise;Mon03;E2;1.0;RF;final;0.0;0.516301999999996
sub-01;28;39bis;Rest;D-R;Carotte;Urb11;E2;1.0;RF;final;1.0;2.035933400000431
sub-01;28;3bis;Distraction;D-R;Tracteur;Nei01;E1;2.0;RF;final;1.0;2.1199298999999883
sub-01;28;40bis;Rest;D-R;Dauphin;Eau04;E2;3.0;RF;final;1.0;2.4671398000009503
sub-01;28;41bis;Rest;D-R;Ampoule;Mon06;E2;1.0;RF;final;1.0;2.2218139999986306
sub-01;28;42bis;Rest;D-R;Table;For05;E2;0.0;RF;final;1.0;1.670781500000885
